"Date","Open","High","Low","Close","Adj Close","Volume"
2021-02-21,298.409302,315.098785,291.363159,301.693176,301.693176,1631185275
2021-02-22,301.678925,302.010712,229.885834,272.056183,272.056183,2185019837
2021-02-23,272.057953,272.057953,201.899307,229.628586,229.628586,2201370879
2021-02-24,229.811584,262.328156,219.49234,238.389938,238.389938,2019337660
2021-02-25,238.324005,248.101547,218.500107,218.500107,218.500107,1429341215
2021-02-26,218.623306,222.912201,202.55864,206.70166,206.70166,1242484945
2021-02-27,206.758652,223.333679,206.32164,211.656204,211.656204,1057227406
2021-02-28,211.64122,211.685547,183.723236,196.271896,196.271896,1071650294
2021-03-01,196.319595,223.285614,196.319595,223.279999,223.279999,1105912502
2021-03-02,223.426285,228.5896,210.010025,216.191589,216.191589,1211726863
2021-03-03,216.209259,234.797989,214.452866,223.571838,223.571838,1011999703
2021-03-04,223.512878,229.23143,206.74231,211.212372,211.212372,1006496431
2021-03-05,211.198883,211.341599,196.885529,206.418076,206.418076,901816499
2021-03-06,206.385147,210.501587,200.763641,208.979385,208.979385,614305811
2021-03-07,208.987381,214.365631,206.77948,214.236923,214.236923,621217474
2021-03-08,214.240662,218.47171,206.777115,218.206696,218.206696,693452143
2021-03-09,218.188507,245.090317,214.956558,244.653381,244.653381,1178891543
2021-03-10,244.578323,249.494629,227.265305,234.916351,234.916351,1254504152
2021-03-11,234.793808,243.324677,225.997437,235.394958,235.394958,1048527347
2021-03-12,235.436401,239.174393,216.946579,225.53154,225.53154,1012487778
2021-03-13,225.528717,243.938187,218.099747,243.483582,243.483582,949448369
2021-03-14,243.429611,249.575348,232.695969,232.742828,232.742828,980555582
2021-03-15,232.605087,239.622757,219.034515,221.194412,221.194412,955206738
2021-03-16,221.165466,224.85112,211.607269,223.322723,223.322723,820597601
2021-03-17,223.348145,230.548386,217.616241,229.137543,229.137543,784151205
2021-03-18,229.152069,236.642441,220.140152,226.49794,226.49794,786601756
2021-03-19,226.43306,231.647568,220.948929,226.572083,226.572083,626166437
2021-03-20,226.563965,236.532715,225.460327,228.118027,228.118027,629890585
2021-03-21,228.102615,230.893829,219.878418,221.162399,221.162399,645971747
2021-03-22,221.189194,222.717941,207.073563,207.91243,207.91243,676973660
2021-03-23,207.863007,213.407135,204.196075,207.846161,207.846161,687882091
2021-03-24,207.796341,214.275818,191.512726,192.274338,192.274338,671612180
2021-03-25,192.208069,196.266968,183.593506,189.766251,189.766251,724149733
2021-03-26,189.753448,203.592896,189.023682,203.592896,203.592896,525507651
2021-03-27,203.5849,204.731781,194.048965,201.675903,201.675903,551880419
2021-03-28,201.656769,207.054672,197.271866,207.048203,207.048203,511666410
2021-03-29,207.06218,217.410828,204.31778,214.625717,214.625717,674897514
2021-03-30,214.620941,219.477356,210.957336,216.649323,216.649323,608640495
2021-03-31,216.665115,225.147842,206.849152,222.535583,222.535583,806868682
2021-04-01,222.559555,237.126328,222.087494,234.102493,234.102493,1038026951
2021-04-02,234.058746,250.325836,229.862228,245.212143,245.212143,1035973631
2021-04-03,245.094482,250.056976,224.425797,224.995758,224.995758,869640080
2021-04-04,224.96521,276.826508,224.602432,272.314758,272.314758,1852340608
2021-04-05,272.053711,277.693085,255.818527,273.768616,273.768616,1317240464
2021-04-06,273.768463,281.907654,258.526611,276.662079,276.662079,1365215746
2021-04-07,276.428772,293.272278,246.712082,253.849045,253.849045,1910141132
2021-04-08,254.120438,269.733459,251.918442,267.176361,267.176361,922046589
2021-04-09,267.250671,273.94928,262.06012,264.93454,264.93454,685526584
2021-04-10,265.337189,285.76062,263.727997,282.851196,282.851196,961172191
2021-04-11,283.278229,294.84967,279.147308,287.889191,287.889191,1007061046
2021-04-12,287.209015,297.78717,272.818207,280.674805,280.674805,915233947
2021-04-13,280.502563,300.944244,277.545807,293.061676,293.061676,993026557
2021-04-14,293.398163,318.85965,286.130615,305.832062,305.832062,1611215742
2021-04-15,305.807037,329.90213,299.314117,327.756012,327.756012,1258154914
2021-04-16,326.642242,394.905396,320.26532,381.253876,381.253876,2865337404
2021-04-17,379.786407,410.087067,357.09024,360.380402,360.380402,2231516733
2021-04-18,360.092224,364.340485,263.147888,315.99826,315.99826,2505947999
2021-04-19,317.211121,326.122986,278.983093,294.129333,294.129333,1957877989
2021-04-20,293.761017,329.32608,275.640045,317.692932,317.692932,2203496699
2021-04-21,317.91391,327.886017,293.60614,295.866119,295.866119,1536839516
2021-04-22,295.171875,313.005035,274.965729,276.807037,276.807037,1502504913
2021-04-23,276.535858,282.030365,236.080032,262.667755,262.667755,1878698066
2021-04-24,262.787445,262.977661,242.030853,246.571823,246.571823,964012143
2021-04-25,246.906235,268.902649,233.798355,246.457657,246.457657,838949843
2021-04-26,246.983185,279.752258,244.74086,278.738434,278.738434,800203091
2021-04-27,278.799652,292.6409,274.814178,292.6409,292.6409,753391271
2021-04-28,292.8703,298.40921,276.267578,288.951447,288.951447,822105758
2021-04-29,288.941681,289.482819,274.291504,286.632935,286.632935,623712344
2021-04-30,286.524811,329.864594,282.555267,319.170868,319.170868,1018489951
2021-05-01,319.579102,327.914917,309.385468,322.046509,322.046509,673913060
2021-05-02,322.05365,323.713409,304.063354,315.036316,315.036316,550401852
2021-05-03,315.25116,342.318878,314.822845,342.016449,342.016449,991104776
2021-05-04,342.420227,382.968964,316.55722,361.725464,361.725464,2036926537
2021-05-05,360.590546,419.25882,358.660645,395.667206,395.667206,2149183028
2021-05-06,396.692261,453.092133,373.928589,440.886749,440.886749,2354235329
2021-05-07,443.392761,476.850372,393.705902,405.463867,405.463867,2133850618
2021-05-08,404.886902,427.879456,393.212311,409.189148,409.189148,1135391473
2021-05-09,408.071594,410.06131,375.772156,405.000427,405.000427,1217318310
2021-05-10,406.050293,430.613892,361.639648,371.057098,371.057098,1322050147
2021-05-11,371.324097,433.137115,360.978271,426.688324,426.688324,1517364881
2021-05-12,426.610901,438.797272,354.183716,354.183716,354.183716,1642234881
2021-05-13,359.415863,383.753906,337.988586,357.284851,357.284851,1451316249
2021-05-14,357.109222,385.491638,355.168396,371.08786,371.08786,823757437
2021-05-15,371.365326,374.60141,334.252899,336.126678,336.126678,878121486
2021-05-16,336.036591,366.944092,312.104401,331.595917,331.595917,904943002
2021-05-17,331.621216,331.697479,282.058136,294.486267,294.486267,1192175519
2021-05-18,294.199493,318.104462,291.495148,304.901062,304.901062,778949956
2021-05-19,304.988617,309.918854,143.288574,191.431244,191.431244,1520836203
2021-05-20,190.704269,238.211166,166.598892,228.412842,228.412842,1527436886
2021-05-21,227.183472,235.511765,165.958923,188.729187,188.729187,1146362883
2021-05-22,188.934616,193.99234,170.495972,178.260361,178.260361,970168073
2021-05-23,178.515396,184.111282,123.577026,151.475143,151.475143,1140479438
2021-05-24,150.745377,200.550323,147.201508,199.952576,199.952576,1070621226
2021-05-25,200.848877,215.274399,179.30188,195.235168,195.235168,1085999061
2021-05-26,195.376404,221.535645,192.011765,214.202271,214.202271,939752408
2021-05-27,214.268646,214.720108,192.380493,203.325684,203.325684,617079236
2021-05-28,204.379318,206.161179,171.807877,183.186523,183.186523,705882785
2021-05-29,183.113739,209.904083,170.924667,176.790436,176.790436,890563201
2021-05-30,176.760361,190.313568,166.233643,182.088547,182.088547,546210949
2021-05-31,181.904739,198.542191,173.406265,197.801453,197.801453,564620078
2021-06-01,197.740051,201.138824,184.814926,191.512054,191.512054,513333529
2021-06-02,191.545395,209.092834,187.164536,202.535812,202.535812,563175755
2021-06-03,202.56279,215.697845,198.766602,209.758621,209.758621,562713903
2021-06-04,210.285324,210.285324,181.230209,191.68956,191.68956,589470633
2021-06-05,191.610443,198.461929,179.809723,185.272354,185.272354,474716119
2021-06-06,185.332703,193.342087,182.627029,185.738083,185.738083,427376367
2021-06-07,185.737991,193.44458,170.710419,171.60997,171.60997,445520961
2021-06-08,172.180725,174.957397,153.577515,166.783798,166.783798,523814825
2021-06-09,166.415009,177.525299,158.518738,176.426849,176.426849,533792701
2021-06-10,176.757034,179.601089,165.113159,169.81427,169.81427,435046712
2021-06-11,170.123871,173.984207,163.712982,165.6772,165.6772,378137090
2021-06-12,165.817856,165.817856,154.755234,163.696426,163.696426,386661021
2021-06-13,163.682281,172.723831,157.530609,172.723831,172.723831,390841392
2021-06-14,172.540421,177.849945,167.960495,173.927765,173.927765,392726190
2021-06-15,174.357101,179.063675,169.94342,175.830124,175.830124,433727706
2021-06-16,172.172089,174.653488,163.579453,164.143433,164.143433,392735595
2021-06-17,164.396698,173.828033,160.878128,163.801849,163.801849,380577679
2021-06-18,164.028778,164.80864,151.361282,154.957001,154.957001,332212067
2021-06-19,155.39386,160.559494,151.580673,152.031296,152.031296,350474201
2021-06-20,151.611053,155.441879,141.753998,153.69899,153.69899,376659215
2021-06-21,153.467148,154.064133,123.092323,123.295059,123.295059,442473309
2021-06-22,123.380936,131.241348,102.384514,119.162857,119.162857,534503922
2021-06-23,119.290245,131.566605,114.287094,126.292351,126.292351,402998093
2021-06-24,127.467674,134.392822,120.673149,131.044785,131.044785,325214254
2021-06-25,131.188049,134.427948,119.270897,120.758003,120.758003,383181895
2021-06-26,120.320015,126.143028,115.392059,124.379852,124.379852,369496382
2021-06-27,124.345947,127.354111,118.430321,127.001213,127.001213,336668225
2021-06-28,127.19075,133.960281,124.836174,131.785095,131.785095,329828468
2021-06-29,132.094254,147.831451,130.597244,139.9272,139.9272,388540003
2021-06-30,140.61972,146.47438,134.302521,145.266479,145.266479,398561753
2021-07-01,145.231216,145.40802,133.348145,138.609222,138.609222,323049028
2021-07-02,138.363968,140.41716,129.769211,135.526352,135.526352,263551412
2021-07-03,135.451721,139.993393,132.48645,138.657272,138.657272,490085302
2021-07-04,138.674652,143.383163,133.895889,140.272171,140.272171,566323376
2021-07-05,140.241592,140.241592,129.894501,132.82016,132.82016,440781148
2021-07-06,132.769119,138.306778,132.025085,134.897461,134.897461,480938514
2021-07-07,134.95285,139.258606,133.643173,134.566879,134.566879,459796298
2021-07-08,134.939301,134.992111,123.953491,126.603027,126.603027,432304816
2021-07-09,126.461388,130.311798,121.298698,128.496262,128.496262,387036107
2021-07-10,128.49762,130.879166,125.427055,128.333725,128.333725,367697118
2021-07-11,128.401611,130.768982,125.365311,128.367783,128.367783,353031433
2021-07-12,128.396698,134.760635,125.419235,126.998665,126.998665,406624425
2021-07-13,126.881599,127.541801,121.949249,123.808846,123.808846,286178472
2021-07-14,123.880753,124.63002,116.049538,123.2285,123.2285,206940058
2021-07-15,123.180389,124.972176,116.580338,121.907791,121.907791,243783447
2021-07-16,122.512947,124.146042,114.816635,115.11602,115.11602,245144637
2021-07-17,114.917671,118.89695,113.501274,116.070404,116.070404,218701532
2021-07-18,116.184944,121.907555,115.013817,116.134529,116.134529,200957922
2021-07-19,115.972221,173.881683,109.691658,137.52771,137.52771,1042361613
2021-07-20,137.91597,145.868515,115.661674,125.659706,125.659706,804112883
2021-07-21,125.328705,151.156281,124.553185,138.451279,138.451279,696392547
2021-07-22,138.859299,146.411606,135.700195,142.176468,142.176468,426704587
2021-07-23,142.278198,145.538879,135.607422,142.813477,142.813477,306965613
2021-07-24,142.789856,148.91217,138.437668,141.207336,141.207336,350118499
2021-07-25,141.020645,143.023697,136.69516,139.809113,139.809113,263664626
2021-07-26,139.815598,156.869843,139.06459,142.549393,142.549393,466936156
2021-07-27,142.390793,147.585419,137.753555,146.049271,146.049271,318016231
2021-07-28,146.281799,156.405487,143.227417,152.514786,152.514786,366957734
2021-07-29,152.783218,164.96051,148.198486,164.96051,164.96051,340858904
2021-07-30,164.937637,167.13707,153.841431,165.600571,165.600571,332819476
2021-07-31,165.330444,168.123352,159.867294,164.209564,164.209564,251979423
2021-08-01,163.623062,172.928955,159.078629,160.559128,160.559128,289611333
2021-08-02,160.347549,164.249115,156.447937,161.916824,161.916824,250979391
2021-08-03,161.851273,163.859253,153.589966,156.146393,156.146393,230785199
2021-08-04,156.401657,163.510941,151.223618,161.373215,161.373215,281435788
2021-08-05,161.514175,165.144943,155.536209,164.418015,164.418015,272756818
2021-08-06,164.462204,168.198257,160.427185,166.792786,166.792786,287298504
2021-08-07,167.206528,173.508224,164.845993,170.355988,170.355988,362997260
2021-08-08,170.359222,172.195236,159.687668,161.661072,161.661072,301359805
2021-08-09,161.701477,181.046448,156.987762,179.444931,179.444931,384069406
2021-08-10,179.199234,179.858582,169.443466,175.8022,175.8022,320694302
2021-08-11,175.859726,188.026459,175.690308,181.982742,181.982742,365410164
2021-08-12,181.789078,190.354858,170.748688,179.904999,179.904999,369137194
2021-08-13,180.338913,202.086884,178.194077,202.010284,202.010284,349726001
2021-08-14,203.592361,203.592361,191.126923,199.101303,199.101303,385704779
2021-08-15,199.098785,216.281525,191.839722,215.169525,215.169525,410848526
2021-08-16,215.874359,216.735474,199.934326,202.093277,202.093277,355403656
2021-08-17,201.299622,211.345093,186.34581,194.603912,194.603912,424686878
2021-08-18,194.697891,213.366608,187.295181,210.221527,210.221527,432819051
2021-08-19,209.888916,220.769531,199.233871,220.021484,220.021484,397627914
2021-08-20,219.971161,235.317276,218.387054,232.825378,232.825378,502645254
2021-08-21,232.849518,248.349884,227.130386,237.399307,237.399307,457024634
2021-08-22,237.389557,256.675659,231.560928,255.036179,255.036179,450736739
2021-08-23,255.37674,284.52771,255.110291,270.2229,270.2229,766873031
2021-08-24,270.82016,273.995392,246.363312,248.440384,248.440384,438772278
2021-08-25,248.798904,264.030487,239.59079,264.030487,264.030487,438950533
2021-08-26,264.577454,264.724548,230.842209,232.439774,232.439774,407796967
2021-08-27,232.409683,243.405533,222.635941,242.223572,242.223572,379532600
2021-08-28,242.523865,243.11998,234.658188,236.495346,236.495346,250451165
2021-08-29,236.679398,247.206116,225.571152,225.571152,225.571152,353287434
2021-08-30,225.546021,230.721436,215.632599,216.544632,216.544632,328600110
2021-08-31,216.674408,228.692612,212.886627,223.878052,223.878052,304074438
2021-09-01,223.99173,240.259567,216.316055,238.959778,238.959778,343376626
2021-09-02,238.954163,245.910294,236.304733,239.124756,239.124756,313241534
2021-09-03,239.08667,251.259964,233.462997,247.526581,247.526581,347142392
2021-09-04,247.349518,256.022125,245.978577,251.786942,251.786942,333591204
2021-09-05,251.748962,268.421082,248.703934,263.671722,263.671722,398178367
2021-09-06,263.920349,265.037811,250.67041,255.469833,255.469833,374209680
2021-09-07,255.649933,256.42395,188.298843,206.560089,206.560089,708160576
2021-09-08,206.607452,211.895767,185.307251,201.698929,201.698929,525669653
2021-09-09,197.847366,207.521042,195.649872,202.432663,202.432663,376511480
2021-09-10,202.520508,214.724747,187.81871,193.138382,193.138382,391014397
